date,open_1day,high_1day,low_1day,close_1day,volume_1day,eqy_float,turnover_1day,open_1min,high_1min,low_1min,close_1min,volume_1min,turnover_1min,volume_proportion
2022/1/3,152.59,158.2749,151.1041,157.85,687231,134.288,0.0051,157.77,157.93,157.67,157.85,8939,0.0001,0.013007271
2022/1/4,157,157.49,151.56,152.67,637609,134.288,0.0047,152.855,152.925,152.64,152.67,150401,0.0011,0.235882806
2022/1/5,151.71,153.59,145.38,145.65,772906,134.288,0.0058,145.675,145.72,145.38,145.65,226905,0.0017,0.293573863
2022/1/6,144.93,147.79,141.65,144.82,730517,134.296,0.0054,144.87,145,144.62,144.82,158369,0.0012,0.216790301
2022/1/7,144.23,147.85,143.37,143.72,677537,134.296,0.005,143.76,143.89,143.52,143.72,128295,0.001,0.189354972
2022/1/10,144.04,145.77,137.38,145.08,1059935,134.296,0.0079,145.56,145.57,145.08,145.08,103329,0.0008,0.097486167
2022/1/11,146.2,146.2,142.1,144.37,585974,134.296,0.0044,144.04,144.37,144,144.37,91144,0.0007,0.155542737
2022/1/12,144.4,145.13,140.14,141.03,580783,134.296,0.0043,140.76,141.03,140.75,141.03,102712,0.0008,0.176850906
2022/1/13,140,140.835,134.06,136.79,1080856,134.296,0.008,136.745,136.87,136.65,136.79,123205,0.0009,0.113988357
2022/1/14,136.07,137.75,133.58,137.09,811330,134.296,0.006,137.14,137.24,137,137.19,6686,0,0.00824079
2022/1/18,133.44,134.63,129.61,130.29,1363837,134.296,0.0102,130.29,130.37,130.115,130.29,39617,0.0003,0.029048193
2022/1/19,130.84,133.18,129.675,132.55,799055,134.296,0.0059,132.66,132.66,132.52,132.55,98144,0.0007,0.122825087
2022/1/20,134.34,137.37,132.29,133.06,987722,134.296,0.0074,132.49,133.17,132.435,133.06,100334,0.0007,0.101581214
2022/1/21,132.66,133.28,127.37,127.55,1224500,134.29,0.0091,127.98,128.01,127.37,127.55,214811,0.0016,0.175427521
2022/1/24,128.04,130.13,123.5,129.55,1028649,134.29,0.0077,129.8,129.81,129.28,129.52,22946,0.0002,0.022306929
2022/1/25,126.24,128.25,124.2,125.1,987239,134.29,0.0074,125.17,125.27,125.07,125.1,136270,0.001,0.138031419
2022/1/26,125.73,128,121.83,123.55,1102043,134.29,0.0082,123.6,123.67,123.4,123.55,168290,0.0013,0.15270729
2022/1/27,124.61,126.86,122.63,122.91,531378,134.29,0.004,122.82,123.15,122.68,122.91,69832,0.0005,0.131416807
2022/1/28,123.08,127.8,120.99,127.62,713048,134.29,0.0053,127.59,127.7,127.53,127.62,147682,0.0011,0.207113687
2022/1/31,130.23,135.46,129.45,134.51,1159091,134.29,0.0086,134.35,134.53,134.32,134.51,206470,0.0015,0.178130966
2022/2/1,135.41,137.88,133.55,137.75,1102847,134.29,0.0082,137.69,137.78,137.44,137.75,157642,0.0012,0.142940952
2022/2/2,137.58,138.35,135.13,137.195,607298,134.29,0.0045,137.06,137.3,137.05,137.195,104178,0.0008,0.17154346
2022/2/3,136.14,138.67,134.63,135.04,888449,134.29,0.0066,135.29,135.35,135.05,135.07,23786,0.0002,0.026772499
2022/2/4,133.35,139,133.35,137.93,997235,134.29,0.0074,138.05,138.12,137.81,137.81,17154,0.0001,0.017201562
2022/2/7,137.29,141.789,137.03,140.79,1222085,134.292,0.0091,140.75,141.11,140.66,140.85,32506,0.0002,0.026598805
2022/2/8,139.81,141.19,136.477,139.99,1819681,134.292,0.0136,140.02,140.06,139.98,139.99,22631,0.0002,0.012436795
2022/2/9,141.71,143.42,139.65,141.41,1608295,135.062,0.0119,140.98,141.41,140.97,141.41,24822,0.0002,0.015433736
2022/2/10,122.275,125.12,118,124.93,9216231,135.062,0.0682,124.26,125.12,124.22,124.955,344189,0.0025,0.037345961
2022/2/11,123.34,127.065,121.2,125.37,2098333,135.062,0.0155,125.5,125.51,125.36,125.37,45103,0.0003,0.021494682
2022/2/14,124.75,125.765,121.48,124.51,1528202,135.062,0.0113,124.59,124.71,124.51,124.51,140379,0.001,0.09185893
2022/2/15,126.55,129.12,125.88,128.72,959973,135.062,0.0071,128.64,128.76,128.54,128.72,133691,0.001,0.139265375
2022/2/16,127.08,129.47,125.26,128.67,871276,135.186,0.0064,129.11,129.11,128.64,128.67,112204,0.0008,0.128781236
2022/2/17,128,128.25,123.8,124.16,735831,135.186,0.0054,124.25,124.28,124.14,124.16,140696,0.001,0.191206948
